Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
V nami,,22820625,33.456.596,41.509.365,6.692.560,1.496.373,832.520,1.687.570,2.072.717,603.380,4.151.270,4.222.307.408,14.657
ᴹʷ Wazzz,,100806137,33.443.816,159.054.391,18.117.965,3.326.904,992.027,1.732.809,9.185.078,2.881.147,2.250.828,947.855.972,52.851
MonchiMini,,64460984,33.443.737,54.901.799,3.381.845,54.987,47.073,87.804,939.418,2.252.563,1.538.462,3.999.857.353,4.376
乂 S v S 乂,,93569422,33.411.012,41.200.389,9.973.593,6.273.474,325.913,160.392,2.562.398,651.416,661.445,128.140.707,24.566
亗ᵀᵃte亗,,100658419,33.406.368,146.961.795,23.032.512,3.806.737,6.034.981,2.479.574,9.001.221,1.709.999,1.296.633,472.995.974,33.918
VOLKOV89,,100518872,33.388.054,97.000.450,10.725.612,1.793.171,1.255.189,767.897,4.712.725,2.196.630,1.712.937,5.260.000,15.715
乂ZUKO乂,,99820405,33.361.819,128.514.314,23.379.850,11.752.258,988.128,374.199,8.261.449,2.003.816,1.230.224,0,53.409
Damian1288,,100294016,33.311.062,20.200.682,9.271.557,6.359.519,826.605,830.372,1.114.714,140.347,298.989,187.202.502,12.055
ᴹʷBlackadder,,100677906,33.204.754,83.914.402,7.880.118,590.078,469.644,635.417,4.338.415,1.846.564,1.139.244,154.405.134,19.913
ᴹғBerserkeR,,99823143,33.204.683,202.438.396,51.897.024,31.709.961,1.409.489,4.697.279,10.711.759,3.368.536,2.575.673,92.035.700,65.352
ᴼʂ SoÁ,,57824246,33.162.791,28.156.656,4.763.669,722.090,1.401.864,723.695,1.600.667,315.353,2.507.471,246.071.238,10.999
ᴹᴜ ANUBIS,,99674373,33.144.289,19.683.470,2.986.968,600.919,443.622,706.108,887.477,348.842,290.474,0,38.249
HuhIDK,,26066004,33.057.393,22.250.896,2.033.092,38.161,10.577,0,1.746.497,237.857,1.691.909,8.684.460.139,10.035
Dark Solutions,,76940713,33.032.570,12.839.638,1.940.412,249.122,548.175,216.891,769.858,156.366,1.064.309,2.007.239.494,6.542
RedFº,,100482032,32.930.709,59.827.728,11.576.128,3.449.132,2.110.108,1.873.729,3.544.041,599.118,1.090.473,162.185.450,40.726
ᴹғ Swiggyy,,20818140,32.881.198,32.946.966,3.052.701,298.069,183.979,169.676,1.617.885,783.092,3.569.511,3.565.895.639,3.874
O nang2,,99679301,32.758.521,47.360.311,7.612.099,626.086,2.153.928,1.457.697,3.039.131,335.257,1.215.465,5.180.393.175,17.215
ᴼʂ SharkBite,,77922285,32.688.848,84.431.330,6.361.771,250.732,337.343,78.822,3.050.627,2.644.247,3.399.047,1.253.445.736,12.023
waYang,,100677873,32.656.353,171.982.113,19.205.026,2.710.065,2.128.051,1.074.357,10.296.449,2.996.104,2.446.710,113.839.830,29.101
ᴹᴜBabyBenji,,84204911,32.628.608,1.840.069,290.561,72.963,14.273,56.270,136.925,10.130,11.033,88.690.111,7.596
亗 Nell 亗,,99648268,32.621.653,110.681.663,18.317.362,5.309.584,2.555.998,1.282.570,8.400.673,768.537,1.959.060,408.002.511,33.040
FarmerDamar,,59955346,32.617.415,84.869.874,17.687.819,2.575.569,4.671.129,5.488.343,4.599.643,353.135,4.009.253,5.618.017.598,23.487
T o k i o,,92982933,32.614.607,219.295.723,23.763.462,3.670.234,1.868.591,1.035.191,13.310.519,3.878.927,2.868.089,424.755.525,29.118
亗DR3SD3N亗,,100150807,32.607.853,146.128.816,12.949.932,601.508,501.071,984.908,7.618.216,3.244.229,2.011.264,82.069.831,32.157
Lydween,,100448061,32.532.192,62.139.433,9.844.202,1.600.036,2.298.793,1.177.235,4.284.986,483.152,1.163.710,1.742.456.353,22.504
ᴹᴜ Zrœ,,100470502,32.522.672,133.215.686,21.560.902,2.898.992,3.954.091,5.655.994,7.893.277,1.158.548,2.644.765,1.888.532.298,23.448
ᴹᴜ 6eJlaPyc,,93232650,32.497.130,31.311.173,3.377.689,146.844,422.948,509.852,1.756.440,541.605,675.848,0,19.649
Menchó,,99812343,32.442.031,51.018.566,10.385.114,1.657.201,4.266.984,1.297.777,2.630.099,533.053,658.356,2.379.699.014,14.341
亗 San The Tea,,93785335,32.430.360,149.323.638,15.266.633,1.715.879,1.548.541,1.458.755,7.082.080,3.461.378,1.787.196,529.016.198,24.600
ᴹғ Nɪᴏʀd,,96798245,32.300.926,137.393.129,13.657.463,1.915.635,981.717,1.383.472,5.802.010,3.574.629,2.083.109,37.751.330,37.288
sunnyflower8,,100567765,32.245.694,237.466,74.856,9.851,34.162,23.543,7.300,0,19.979,0,3.923
ᴼʂ MATHIAN,,75706475,32.184.684,30.674.418,2.745.828,94.398,169.335,135.102,1.716.340,630.653,3.435.507,493.687.557,44.678
亗Vegeta亗,,89003209,32.144.661,106.446.350,15.368.370,4.141.018,981.520,1.140.039,8.302.091,803.702,593.219,180.185.136,31.905
ᴡғ Tsubaki,,81258875,32.082.388,60.247.462,5.734.087,1.094.960,122.078,58.531,2.962.017,1.496.501,838.428,246.111.789,12.286
Bablo Å,,100774137,31.969.554,15.814.438,4.756.722,2.611.350,473.435,594.442,958.237,119.258,271.812,7.518.380,12.627
ᴹᴬᴰ Alpha,,12998435,31.951.616,40.573.590,3.555.818,255.881,114.999,99.469,2.181.484,903.985,3.589.514,3.929.809.438,10.964
义 D O K O 义,,100510808,31.932.165,58.758.595,5.032.044,161.503,307.894,173.854,3.036.077,1.352.716,762.569,84.685.979,32.326
ᴱᴹᴾyuki,,100532437,31.899.896,1.149.066,171.855,7.411,48.577,18.040,97.827,0,395.880,469.344.569,13.833
ᴹᴜ INGOT,,100674870,31.897.983,12.260.576,1.171.397,61.192,165.305,52.142,614.600,278.158,162.760,10.470.254,22.351
Àvaaa,,99367137,31.830.218,59.884.954,11.321.359,3.510.009,1.367.767,1.489.082,4.859.893,94.608,212.727,1.686.449.024,17.115
Kam Jun,,84681172,31.758.616,32.339.038,2.700.576,191.849,55.010,49.412,1.609.310,794.995,2.498.379,91.607.036,17.731
Dеntist Malik,,88919680,31.720.835,128.551.317,16.341.388,4.356.983,1.125.589,794.568,7.903.449,2.160.799,3.154.155,423.401.583,26.976
Smartbito,,73054264,31.719.939,68.898.835,11.038.621,4.615.113,198.150,199.733,5.373.192,652.433,1.115.761,5.609.789.977,22.420
ᴹᴜ Rolys2,,89829501,31.687.942,19.955.182,2.340.499,184.619,225.889,141.580,1.686.806,101.605,203.546,1.344.930.345,17.886
Ocean 24,,96660468,31.652.768,113.745.544,23.646.828,6.463.269,4.551.071,4.269.807,8.098.210,264.471,1.384.864,5.920.962.675,27.473
Tunaa 1,,92840303,31.651.692,44.492.692,4.985.065,215.411,384.580,205.810,4.072.807,106.457,291.349,4.455.511.467,14.834
ᴵᵁMAhrtinEE,,13246747,31.640.611,81.085.877,6.338.509,226.287,4.393,3.301,4.107.193,1.997.335,2.989.348,3.660.350.400,11.929
A Law V6,,100589588,31.622.150,63.782.517,15.275.961,8.062.833,1.023.497,1.774.214,3.528.224,887.193,1.269.310,2.433.788.994,13.727
ElcosmitoPL,,84708648,31.555.625,32.123.405,2.975.208,249.254,308.595,94.421,1.538.008,784.930,1.464.092,300.438.102,7.406
Vciiious,,94914202,31.539.515,21.671.469,2.747.624,469.557,257.345,329.217,1.408.410,283.095,203.916,206.695.366,12.834
IcelCutiePie,,73871230,31.534.629,118.564.897,29.830.720,16.989.733,913.183,1.582.321,9.989.836,355.647,1.128.498,262.379.506,38.754
NØZEL 亗,,100636429,31.518.194,279.357.490,37.923.357,8.345.499,3.570.555,5.714.755,15.816.270,4.476.278,2.089.914,625.244.073,53.187
亗 Lil Groot,,47515469,31.501.669,10.390.718,1.446.259,141.352,370.874,128.730,700.028,105.275,370.071,9.467.164.525,10.949
ᴹᴜ RAC,,100560230,31.475.639,34.205.295,3.901.931,474.654,414.264,453.624,1.972.044,587.345,2.087.135,36.126.001,20.785
Stahl Eisen,,24694684,31.372.423,23.407.198,1.674.569,641,0,0,1.007.149,666.779,4.018.962,9.024.697.830,5.876
Black Pearl666,,63380322,31.354.240,45.895.195,8.698.784,1.660.057,2.572.322,1.245.455,2.898.228,322.722,1.961.116,315.553.992,20.464
احسن واحد1113,,95103772,31.300.195,39.429.657,20.295.800,13.189.985,1.901.642,3.355.949,1.739.990,108.234,2.301.496,267.395.500,20.080
ᴹᴜValera01,,100499134,31.288.558,16.631.879,1.453.638,73.965,62.814,18.907,954.321,343.631,503.526,25.117.942,16.774
Blackadder Farm,,86525442,31.276.684,22.573.934,3.947.384,604.960,911.716,1.041.380,1.132.257,257.071,1.036.339,1.716.408.730,14.633
ʀᴀᴛᴇʟ,,96224704,31.258.300,223.570.557,18.390.145,825.055,241.671,676.211,11.272.680,5.374.528,2.436.548,120.472.245,26.289
SarojOfficials,,98666249,31.212.285,7.363.073,602.253,73.913,46.308,2.456,234.567,245.009,988.453,27.400.000,2.913
ChuckyDee,,100213017,31.164.085,11.955.718,1.795.359,268.062,202.894,387.887,878.555,57.961,293.717,87.390.195,13.112
SДПДТДS,,97703255,31.140.056,4.290.546,736.035,136.039,204.560,61.337,307.311,26.788,410.447,418.854.546,11.007
Generªl,,100480307,31.091.373,67.351.653,5.333.888,102.534,43.859,279.142,3.204.020,1.704.333,1.157.568,1.041.500,10.524
Lance micro,,100591768,31.083.751,4.122.936,717.544,45.799,51.614,365.127,255.004,0,61.915,8.827.003,12.884
KudaKudos,,85976318,31.071.301,74.244.069,12.722.175,4.433.627,1.724.011,1.005.473,4.529.385,1.029.679,2.619.362,720.700.632,39.065
亗 Sicho,,88701682,30.975.312,120.649.090,10.596.046,1.104.252,294.885,277.505,5.965.963,2.953.441,3.213.462,859.332.165,32.785
GinnyPapa,,100249727,30.940.752,100.293.372,17.277.279,6.813.498,1.189.521,1.634.250,6.278.557,1.361.453,1.128.808,272.604.866,24.644
l RuBy l,,96616456,30.903.685,143.637.411,23.231.890,9.786.304,571.203,1.170.261,9.822.574,1.881.548,3.117.738,338.733.811,53.338
elfuego7,,100545397,30.837.830,3.534.584,371.914,21.361,17.481,20.130,284.401,28.541,166.653,500.000,8.139
ᴜғ REZ ム,,100373635,30.809.059,66.686.763,12.288.593,1.087.214,3.965.343,3.569.771,2.906.575,759.690,390.631,78.884.719,20.802
YA KAN,,84602722,30.764.988,76.099.067,9.063.677,1.799.487,728.562,705.214,4.514.709,1.315.705,2.067.120,66.025.352,15.911
ᴹᴜ GSC,,100520144,30.709.420,32.150.571,3.319.375,187.623,287.121,618.596,1.545.628,680.407,305.640,123.841.918,15.544
ᴸᴹKingLin,,100299001,30.654.006,13.455.652,1.219.992,83.768,75.931,56.494,701.492,302.307,192.011,14.648.846,7.204
LilDaVos,,73509639,30.606.652,7.822.262,1.578.442,406.998,469.532,304.207,236.913,160.792,1.486.555,3.915.799.135,7.882
ᴼʂ XFILESッ,,94036563,30.592.096,58.725.354,5.663.572,167.411,510.193,275.334,3.764.253,946.381,964.137,323.884.969,19.963
ᴼʂ Yene94,,100736911,30.525.502,20.038.809,2.496.546,253.666,285.525,549.144,1.094.377,313.834,628.409,608.008,11.411
ᴹᴜ bird2152,,100888553,30.493.002,67.438.116,16.554.383,7.733.900,2.142.644,1.765.662,4.370.014,542.163,973.978,260.506.060,13.935
The Gødfather,,98542909,30.491.942,35.898.229,11.872.716,5.949.727,3.093.717,751.040,1.604.795,473.437,941.740,754.763.470,17.574
乂Abdo乂,,100469179,30.455.566,56.106.478,5.957.195,149.520,333.579,482.529,4.635.204,356.363,1.731.011,104.579.278,12.633
ᴼʂ Bullet ッ,,89113895,30.438.628,21.498.883,2.966.347,469.103,256.880,294.428,1.920.513,25.423,609.296,307.973.816,8.117
Naya秋,,77792035,30.408.935,189.111.181,23.578.749,3.001.706,1.705.951,2.237.377,15.652.487,981.228,2.892.720,421.665.910,10.161
亗Vytosa亗,,100483856,30.342.570,35.865.114,4.825.639,433.292,1.195.439,678.992,1.968.671,549.245,1.061.013,6.605.415,10.425
ᴹᴜ Cate002,,100392755,30.298.684,8.603.510,1.243.552,175.582,212.199,191.339,591.000,73.432,147.550,400.000,22.208
亗 Drone 亗,,100658272,30.260.129,43.176.393,7.097.441,1.699.147,1.576.810,903.651,2.228.832,689.001,920.745,12.077.370,12.953
ᴹʷPoseidon,,100786484,30.248.157,55.655.303,12.424.355,4.389.287,1.789.190,2.592.734,3.223.475,429.669,855.245,480.109.180,13.049
Billybobblues22,,100134545,30.246.724,58.970.404,4.722.708,94.121,128.097,55.674,3.042.363,1.402.453,1.356.244,227.690.024,12.242
SweetMaki,,96871078,30.224.961,12.876.963,1.377.057,43.356,164.335,33.678,1.030.885,104.803,542.482,287.827.520,19.787
ᴹᴜ Jerrrum,,100538749,30.208.568,81.195.373,14.107.527,4.507.065,2.513.305,1.593.555,4.097.891,1.395.711,939.774,101.359.000,18.729
MU DarthMalcus,,100475272,30.181.275,2.720.982,433.094,158.840,54.068,21.737,147.485,50.964,43.227,27.026.231,7.247
ᴹᴜ Inka,,100536214,30.171.242,2.061.916,625.913,114.059,330.694,72.314,108.846,0,48.064,81.047.779,14.784
ᴸᴹ BdE,,100528853,30.169.516,10.294.917,934.534,53.783,39.402,83.344,528.812,229.193,247.249,233.730.868,14.412
ᴼʷᴸCriSan,,100498509,30.116.837,6.063.151,831.645,98.107,246.626,73.477,301.233,112.202,122.131,2.529.000,22.331
艾 The wolf,,59622928,30.114.505,81.714.049,15.641.959,6.567.825,1.360.718,1.281.297,5.608.852,823.267,4.189.153,2.003.686.411,28.750
ᴹʷ Slasher,,94412998,30.098.912,41.024.117,7.622.265,3.408.486,665.753,167.866,2.926.375,453.785,1.495.053,76.566.924,11.564
littlePodOnglee,,45815401,30.083.077,14.250.031,992.449,5.987,9.553,1.347,528.690,446.872,2.065.730,9.636.693.446,4.716
LughOG,,94726169,30.049.648,8.011.032,3.608.959,1.154.222,1.832.009,376.690,231.135,14.903,79.633,20.471.268,19.575
Taco Bėlle,,72975876,30.012.209,1.965.280,250.473,39.452,8.164,54.238,124.827,23.792,394.910,3.357.326.213,4.598
ᴸᴹ Nitro098,,100294391,30.012.147,32.629.182,6.563.888,2.813.879,925.590,559.709,1.731.781,532.929,1.069.826,676.383.424,42.237
SuIIensBish,,46959475,30.005.254,11.802.739,1.832.036,524.095,404.003,150.856,477.515,275.567,1.792.057,2.790.738.339,9.922
亗Sang亗,,99749284,29.974.126,43.223.863,5.332.006,465.297,417.258,708.942,3.534.966,205.543,562.520,46.994.022,17.810
ᴹʷ Andromeda,,66811282,29.947.950,62.699.665,5.169.611,83.056,121.948,286.877,3.226.295,1.451.435,2.305.823,143.100.799,18.827
YV FOXSeys 亗,,92992565,29.945.162,89.034.843,11.038.147,1.014.895,1.239.049,1.781.329,6.082.903,919.971,1.718.782,191.702.758,32.774
ST99RLING,,29439947,29.927.056,3.604.867,360.682,14.276,1.400,46.853,255.126,43.027,738.738,3.507.575.259,2.532
亗 Akaza 亗,,65913227,29.861.882,19.427.929,1.675.699,122.906,8.379,1.130,1.148.361,394.923,2.071.892,899.852.969,8.826
Slippery79,,97186612,29.765.813,81.474.177,8.275.029,989.753,836.386,452.926,4.212.753,1.783.211,1.678.640,253.156.188,37.499
MU KoldunchiK,,100509288,29.758.557,23.670.928,2.019.783,118.902,72.809,140.985,1.080.415,606.672,670.154,38.454.850,18.044
ShimoFarm1,,75322431,29.711.873,2.370.421,729.588,301.884,254.448,60.802,69.114,43.340,401.268,2.202.364.817,4.122
Karbyne,,62184629,29.697.529,486.640.535,41.896.187,837.957,2.356.523,2.716.437,24.881.125,11.104.145,6.164.016,8.460.000.000,209.855
QuinchWZRD,,78741336,29.694.634,12.740.865,1.135.925,20.543,15.314,137.337,709.784,252.947,258.108,875.608.800,7.184
ᴼʂTiger,,93296389,29.654.477,46.052.935,5.835.275,392.566,516.220,1.454.753,3.031.175,440.561,1.015.633,17.498.507,12.092
ᴹᴜ Ghosts,,104274312,29.641.818,39.290.634,5.547.452,2.527.910,72.290,79.518,1.903.228,964.506,983.352,36.575.190,19.261
ᴹᴜ Lulu,,100257458,29.623.587,16.477.803,1.849.098,69.933,202.659,277.972,1.102.407,196.127,185.407,65.443.732,15.357
ᴱᴹᴾAZU,,100536661,29.562.455,10.698.243,8.042.238,6.947.313,189.852,274.699,477.720,152.654,837.239,1.776.000,9.163
ᴼʂ Invicta,,100532614,29.557.261,4.145.897,3.304.264,1.532.576,1.662.091,96.795,12.802,0,33.085,5.604.261,6.942
Hosier farm1,,53352750,29.495.640,1.109.220,82.713,0,0,0,54.504,28.209,1.859.441,1.287.943.326,3.893
ᴹʷSweetDee,,99870969,29.487.247,67.358.055,5.912.526,344.465,434.925,119.618,3.432.952,1.580.566,1.105.662,57.635.897,22.602
MAJxQuinnX,,90289741,29.450.661,69.360.643,14.772.284,8.197.596,400.429,783.099,4.403.533,987.627,2.636.928,58.587.876,28.028
Camilo221,,100516546,29.413.150,3.326.512,1.641.028,381.892,1.013.777,205.660,39.404,295,640.259,0,8.231
Tấnn đi bar,,95506551,29.409.955,25.247.577,6.965.428,1.593.273,2.381.567,1.864.512,981.378,144.698,2.633.645,28.662.133,12.329
Doć,,73915551,29.360.538,7.738.539,728.663,7.646,15.301,31.002,591.188,83.526,1.783.615,956.192.703,6.322
Rouchi,,100361948,29.354.289,10.019.620,1.112.719,71.992,239.503,143.239,420.644,237.341,297.957,27.342.447,18.377
Black assassin1,,94506532,29.350.884,103.084.384,10.158.037,705.138,1.287.522,789.098,5.031.366,2.344.913,1.713.268,593.504.208,20.838
ᴹᴜ Andy,,100649601,29.318.453,6.186.334,1.243.341,315.169,370.448,156.871,326.214,74.639,41.915,11.850.244,11.045
亗 Kern 亗,,100640458,29.311.241,76.374.780,7.951.826,1.263.160,714.559,626.025,3.477.271,1.870.811,2.230.849,129.573.140,22.616
Pu7angs Revenge,,99617205,29.292.389,96.632.757,13.301.628,2.919.636,1.099.926,1.535.202,6.722.911,1.023.953,1.705.978,230.067.703,43.620
Clacla77 II,,17177855,29.277.835,32.212.284,2.872.691,2.810,85,11.083,2.500.704,358.009,3.975.312,4.578.799.020,7.408
Miggy ヅ,,100674859,29.174.106,288.370.241,31.693.915,1.354.315,2.146.114,5.134.240,19.791.473,3.267.773,2.839.577,247.005.096,16.985
Mu HondaBeat Fi,,100467559,29.143.724,17.858.472,2.370.911,321.919,112.511,359.914,1.540.193,36.374,599.901,151.690.275,15.105
ᴹᴜ ILYA,,100501319,29.008.682,4.359.617,442.833,29.353,34.530,88.504,187.825,102.621,1.891.162,0,18.351
ᴹᴜ Colli,,92337263,29.001.780,43.928.143,17.236.688,7.432.805,5.690.067,1.990.647,1.936.452,186.717,159.397,97.219.681,28.438
Farmer Uncle D,,99686677,28.993.394,22.624.335,4.208.990,1.607.956,582.613,490.982,1.137.519,389.920,261.233,621.085.725,16.967
Mir nic MU,,100470318,28.959.967,32.148.941,2.887.167,145.063,243.164,157.470,1.582.568,758.902,1.112.121,184.104.859,11.117
ᴮᴼ leiley,,100857322,28.916.209,44.188.410,4.126.316,133.811,122.971,103.319,3.182.187,584.028,524.024,177.000.000,31.838
S็et Zer่o,,100496943,28.914.695,96.711.301,15.236.587,5.124.693,1.195.941,1.614.165,5.919.794,1.381.994,1.605.117,140.605.114,30.245
メ  ɴɪsʜɪ  メ,,100496921,28.904.017,29.917.109,4.148.391,320.945,1.134.169,748.133,1.431.083,514.061,1.106.434,277.948.891,16.267
亗kraken亗,,100521010,28.872.411,101.322.703,27.028.800,11.197.764,4.997.384,4.461.438,5.620.165,752.049,1.548.685,150.549.832,42.102
亗 LIllo 亗,,100076960,28.862.688,6.797.074,1.587.345,291.498,680.968,179.117,405.487,30.275,590.888,111.106.383,21.717
Tqmplier,,90177051,28.832.510,89.649.193,33.861.805,24.647.016,1.005.992,967.299,6.599.135,642.363,612.431,979.225.420,18.595
D亗EmperorCali,,96307548,28.828.567,160.274.938,14.271.970,1.137.679,369.548,901.439,8.156.353,3.706.951,1.612.740,721.502.123,22.644
Conte Nero III,,39900991,28.797.357,787.324,316.265,271.169,0,0,16.883,28.213,1.470.103,7.680.844.744,8.226
亗 TwinTwo 亗,,100172854,28.793.708,82.492.315,9.683.081,777.147,1.431.393,799.375,5.722.672,952.494,1.483.005,911.074.760,26.818
MonKey  Warrior,,76840602,28.699.314,138.696.528,32.488.879,9.438.158,9.978.242,3.720.328,8.507.192,844.959,2.494.512,7.929.655.859,42.028
irq force511,,98392749,28.658.584,26.024.285,2.928.463,91.074,234.610,440.560,1.946.977,215.242,1.585.432,755.436.267,8.220
ᴹʷPhoenixIII,,10310115,28.649.535,9.916.713,826.890,376,2.107,110.161,481.314,232.932,1.992.442,6.214.811.700,4.020
JimmyCee,,96010589,28.630.834,2.159.542,852.992,473.952,158.454,76.336,144.250,0,0,729.796.424,2.771
Sofakingleechy,,58766635,28.625.261,19.298.906,3.472.115,1.114.629,798.441,153.412,1.124.721,280.912,662.199,909.437.505,6.318
Sävage,,56321140,28.604.081,38.626.627,11.216.727,2.285.294,5.673.484,1.459.805,1.497.950,300.194,1.814.404,11.669.741.034,18.952
CraZy KaKashi,,99759347,28.597.516,97.546.556,15.013.345,1.032.068,2.956.726,4.032.800,6.453.953,537.798,1.267.771,591.387.808,30.430
FrowZenFarm,,93136877,28.522.509,46.716.269,5.470.211,457.853,823.101,361.724,3.301.906,525.627,967.330,1.365.294.418,9.952
ᴮᴼSal Zu,,100820227,28.452.538,14.034.264,1.456.989,29.190,64.678,69.275,1.225.495,68.351,303.373,6.295.141,15.573
亗David69亗,,57950300,28.394.453,84.451.547,18.503.432,10.197.257,837.248,1.134.615,5.048.710,1.285.602,4.551.130,7.810.508.769,4.825
ᴹᴜ Gordos13,,100843425,28.364.484,15.202.966,2.336.787,875.970,154.301,302.920,656.443,347.153,1.066.434,325.883.178,10.353
G Berita29,,101962756,28.363.308,9.041.291,2.179.176,426.734,759.196,415.818,577.428,0,208.689,202.936.971,11.725
ᴹᴜ IIxa,,100727309,28.328.778,3.293.929,314.196,3.043,59.841,69.407,74.209,107.696,85.027,30.000,12.353
DaVôs,,92781599,28.325.878,29.839.768,3.128.153,47.130,52.865,173.368,2.806.466,48.324,177.796,2.937.289.550,5.502
Babygabby,,99948750,28.305.354,54.270.323,4.731.602,91.674,212.319,311.605,2.973.915,1.142.089,700.600,109.466.337,31.938
0KingDavid0,,100558756,28.288.032,11.798.223,3.548.854,608.873,1.497.993,1.009.593,400.581,31.814,915.714,0,12.982
LittleRscls Pet,,17525499,28.226.041,3.037.190,232.935,17.719,1.902,1.173,121.767,90.374,1.716.904,10.930.466.994,7.647
Cactus V jr,,41678539,28.179.672,3.213.209,326.698,6.024,22.654,40.089,215.228,42.703,248.210,5.250.615.776,3.951
ᴮᴮWhale,,9098350,28.170.181,67.271.678,4.735.982,62.868,85.799,242.209,2.078.345,2.266.761,4.275.397,9.760.956.728,9.474
MUmechanic777,,101755867,28.075.020,5.821.984,1.275.269,101.738,442.652,398.743,332.136,0,17.997,821.967.121,11.813
ᴹᴜTroyan,,100470435,28.059.702,22.843.122,3.562.046,281.640,1.030.548,814.017,1.124.719,311.122,1.687.849,9.186.871,27.135
ᴹᴜRHINO,,100719843,28.054.202,11.808.063,1.774.490,151.187,547.557,269.463,652.080,154.203,598.606,4.873.301,8.999
ᴹᴜBlackSock,,100151952,28.043.671,10.879.841,1.094.325,10.516,23.810,144.207,806.255,109.537,127.833,59.506.810,13.209
亗SMETANA亗,,99810189,28.022.714,72.531.093,10.952.275,2.141.993,1.629.063,1.568.922,4.967.706,644.591,1.114.373,67.637.950,15.176
ᴹʷ Cants,,100796186,27.994.259,78.714.773,12.116.908,4.570.067,691.270,906.340,4.619.176,1.330.055,1.715.215,600.000,18.776
Xolodilnikk,,100626449,27.935.947,23.809.181,2.281.465,45.057,116.023,483.896,1.109.724,526.765,175.306,11.458.207,20.957
MOCCA1176,,100524147,27.890.034,3.386.240,604.262,125.548,199.702,88.119,120.861,70.032,33.548,16.000.438,20.007
ᴹᴜaSkoPinhu,,100566739,27.871.719,20.588.522,1.918.807,123.361,142.718,32.431,1.225.725,394.572,1.388.137,22.596.813,10.177
ᴼʂ Zorojuro,,100476386,27.835.265,11.668.166,1.114.211,80.308,201.285,138.831,318.153,375.634,619.710,19.600.000,12.432
버 사 르,,100472319,27.798.109,7.341.154,1.027.423,32.818,102.682,298.334,593.589,0,572.688,0,8.498
PakoZ,,100507663,27.711.088,70.331,15.971,2.954,4.253,4.401,4.363,0,0,1.627.159,5.850
ᴹғ T7,,61952466,27.689.820,36.990.391,4.626.670,325.405,1.276.582,591.874,1.665.153,767.656,1.972.852,464.657.043,5.761
ᴹʷ MADTAMU,,99835543,27.651.778,108.072.314,20.130.830,7.420.752,2.284.436,2.474.453,6.690.230,1.260.959,2.140.820,3.171.584.295,28.884
亗 Vanitas 亗,,89216583,27.649.395,97.498.139,8.930.987,360.455,137.429,817.135,5.843.671,1.772.297,1.879.584,553.051.438,28.227
Sharkk 1,,90495380,27.626.206,16.853.670,4.218.991,1.127.412,1.284.750,915.407,743.138,148.284,266.442,5.371.139.784,6.503
XxxAbofaisalxxX,,90919775,27.615.807,94.052.676,16.133.454,6.283.620,1.648.961,1.011.160,5.834.087,1.355.626,2.167.831,548.168.204,22.503
ᴹғ VN Yamato,,99726425,27.585.958,42.561.086,16.473.581,3.455.482,9.495.540,2.387.405,937.379,197.775,2.097.234,91.780.415,9.851
BANK BCA Cancon,,77129091,27.558.395,46.348.465,10.832.236,2.476.123,3.642.867,1.548.934,3.091.447,72.865,1.463.717,1.330.433.040,21.505
Faugami,,100508468,27.531.589,3.080.815,1.908.320,817.846,912.945,113.989,63.540,0,5.262,0,7.041
MazDeat,,84555020,27.498.614,3.894.719,705.048,205.795,170.765,82.235,174.197,72.056,1.001.323,15.200.000,10.221
ᴼᴳJay,,99720657,27.486.344,13.422.921,1.842.871,123.943,454.106,107.205,1.109.124,48.493,367.445,78.710.011,8.034
RaizinglRabbit,,73920475,27.483.390,19.686.537,3.477.775,494.095,1.245.828,459.508,1.030.885,247.459,1.247.109,10.075.228.075,18.919
Princessïtà,,3842501,27.399.786,6.144.437,739.559,5.606,4.425,394.724,214.051,120.753,232.869,7.020.951.658,3.505
방랑군,,100525771,27.396.489,1.153.922,479.153,27.000,397.998,31.504,22.651,0,0,6.640.000,3.393
White tiger 00,,100053763,27.384.570,47.897.648,9.456.220,1.431.811,3.107.736,1.728.961,2.927.427,260.285,203.505,51.818.696,15.173
ᴹᴜ Ride,,100498436,27.329.307,1.047.929,604.682,194.786,317.538,91.614,744,0,43.853,0,6.506
Tini89,,88694864,27.312.930,8.729.856,1.536.805,236.398,332.939,482.032,362.015,123.421,718.245,535.193.836,5.214
ᴹʷPhoenixIV,,6533643,27.290.930,8.871.220,713.584,3.668,2.452,468,527.621,179.375,1.446.259,2.803.166.979,2.827
ᴹᴜv1810l,,100521087,27.263.088,2.205.617,521.291,37.777,202.704,169.241,111.569,0,218.432,0,9.922
Maxpyo,,100679233,27.247.632,89.814.682,11.396.656,3.185.571,708.316,805.514,4.940.622,1.756.633,1.174.244,84.701.536,20.590
ᴹᴜ ŚLAŶER,,100539854,27.210.399,51.017.071,15.653.338,9.220.207,931.792,1.776.209,3.429.799,295.331,1.688.918,87.933.370,26.331
Sęphį,,80743679,27.189.202,106.508.690,14.270.895,1.397.928,2.044.931,2.005.933,8.232.655,589.448,1.822.180,732.586.620,12.137
DeathWind88,,93243180,27.180.545,9.953.813,969.537,8.156,40.100,204.128,528.759,188.394,561.472,189.471.008,8.137
