Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
G  33,,20591999,62.725.693,773.681.672,77.431.104,14.869.901,2.247.210,2.093.753,40.656.654,17.563.586,6.761.909,2.218.318.042,109.622
Vhong Navarro,,1157539,62.221.796,279.458.885,27.206.358,4.294.676,737.242,939.139,15.133.711,6.101.590,11.139.062,14.884.239.341,50.655
AIpha Nightmare,,2603271,61.954.249,883.267.898,73.016.936,3.816.092,1.267.879,2.761.173,43.451.161,21.720.631,9.225.709,5.209.467.068,70.743
亗Matty亗,,51339581,61.908.270,313.150.594,76.911.965,51.145.230,759.386,645.114,18.842.238,5.519.997,5.635.681,2.184.448.154,53.242
ᴹғ Beast,,32992184,61.890.788,694.180.871,58.148.910,3.306.844,1.012.498,2.073.814,35.191.583,16.564.171,7.974.402,5.624.945.685,75.143
Techno Goliah,,81188078,61.857.006,783.823.740,101.542.744,13.164.252,19.477.259,16.029.583,37.931.496,14.940.154,5.313.160,3.575.356.995,36.759
Siren witch,,33826622,61.855.340,653.976.885,71.280.966,8.979.444,5.551.295,5.825.554,40.071.727,10.852.946,7.927.111,5.326.809.464,59.387
乂 ɀĕrǿ 乂,,2209015,61.696.665,1.881.834.833,135.382.772,5.023.437,1.308.536,949.771,68.760.657,59.340.371,14.727.911,4.421.559.513,50.488
MiKe IcE,,41515492,61.397.807,1.185.035.621,88.198.253,4.800.315,9.913.093,2.699.313,26.225.852,44.559.680,5.949.308,2.989.387.016,52.118
亗 Metis 88,,80756541,61.341.600,77.820.203,9.839.458,778.035,1.346.989,1.199.147,6.013.171,502.116,878.167,492.971.703,23.736
kiwibunnylove,,11201120,61.192.898,961.475.349,81.956.553,1.540.595,1.467.813,4.772.661,54.436.872,19.738.612,9.793.307,10.178.811.104,55.976
ᴮᴰ Just Ash,,38803342,61.143.030,865.506.494,71.628.890,3.435.342,1.614.000,1.401.609,44.757.379,20.420.560,5.422.969,3.632.307.202,123.802
KrakenDaPhker,,90041175,60.960.590,539.365.698,46.566.784,971.152,947.141,2.533.009,31.516.449,10.599.033,4.453.662,533.101.390,13.067
因iRonLord,,26758119,60.946.056,772.735.282,77.742.495,14.126.669,1.863.967,3.467.291,41.337.851,16.946.717,10.503.672,4.579.008.968,69.126
Superfly0117,,96855561,60.865.440,1.627.004.754,150.587.684,4.024.701,5.134.084,7.611.844,109.085.683,24.731.372,9.380.800,13.667.012.254,23.074
Mariebelle126,,85116368,60.387.395,526.480.319,48.251.287,3.096.193,1.865.595,2.467.300,30.418.329,10.403.870,2.697.307,3.703.510.285,125.512
ᴹғ BEAST,,32763722,60.298.671,1.051.149.883,89.804.288,5.680.086,2.016.621,2.549.871,55.537.306,24.020.404,11.228.118,5.848.632.843,88.131
دمار DAMAR,,70560874,59.869.529,594.927.449,63.187.913,10.468.917,1.619.255,3.613.179,37.458.880,10.027.682,6.900.035,5.530.733.001,96.197
FARMER DAVID,,50718784,59.848.121,1.878.541.301,170.480.887,12.432.983,4.505.880,7.329.481,108.652.584,37.559.959,10.001.538,5.701.509.200,40.318
ӁPlatinum,,38911969,59.633.624,610.263.119,58.672.608,7.260.243,3.419.330,2.814.860,31.285.053,13.893.122,8.035.658,5.190.224.589,44.491
A Laww,,53483031,59.559.065,642.506.529,80.763.074,24.994.883,3.795.284,3.714.771,35.010.482,13.247.654,8.566.066,4.821.039.176,80.372
亗Dracarys亗,,41791241,59.431.847,551.986.006,52.515.780,8.806.521,1.339.746,1.640.045,27.360.433,13.369.035,9.484.220,2.465.592.331,31.116
ᴹʷ FILIPPO,,17616528,59.365.158,441.814.846,40.785.987,5.185.288,220.818,793.568,25.456.438,9.129.875,8.994.421,2.375.896.730,30.513
乂AcesHigh乂,,58644243,59.058.189,1.298.475.721,141.816.555,34.686.143,5.759.770,7.574.478,62.620.224,31.175.940,11.093.255,28.496.445.657,94.140
云AlwysAsleep,,85299812,58.832.711,487.694.951,68.334.445,9.032.273,8.323.417,12.558.653,34.939.499,3.480.603,2.949.213,5.686.965.521,65.860
亗 Salah 亗,,2663149,58.784.273,785.659.280,61.080.719,1.961.878,244.181,1.297.713,37.195.125,20.381.822,12.288.308,4.623.096.521,42.936
CR4ZY TURTL3,,48565482,58.754.086,699.752.189,61.782.582,4.705.886,1.798.048,2.865.934,36.450.310,15.962.404,5.235.636,6.547.063.455,125.909
Macky01,,81318205,58.520.923,256.139.753,34.674.904,11.573.107,1.460.234,1.570.021,15.680.626,4.390.916,1.571.244,2.383.211.199,57.397
ᴹғ aimLike,,9805927,58.484.533,802.908.329,67.951.706,3.522.097,818.182,1.980.389,43.997.477,17.633.561,6.197.180,3.850.763.018,64.743
Goverfisumes,,7213117,57.608.753,1.500.383.216,114.255.560,4.227.910,969.079,1.219.614,66.405.812,41.433.145,14.641.797,13.945.163.441,173.584
Hellin Her,,41846022,57.475.096,587.141.132,48.487.809,3.581.658,1.113.114,817.468,27.858.268,15.117.301,6.184.360,1.225.847.279,83.406
云 CON,,81220571,56.978.669,898.509.577,91.163.719,11.292.376,6.366.589,8.332.091,45.326.370,19.846.293,3.563.602,1.343.853.536,35.850
ミk2naH,,53220785,56.790.117,894.049.034,74.371.703,1.917.401,1.407.620,1.403.001,50.763.531,18.880.150,5.941.345,4.651.742.870,62.261
SynCrow,,100428525,56.714.160,210.137.821,28.172.054,4.295.026,4.161.665,4.345.909,12.381.723,2.987.731,1.331.526,499.325.714,33.855
